date,sales
2013-01-01,105.0
2013-01-02,2411.0
2013-01-03,2476.0
2013-01-04,4796.0
2013-01-05,6715.0
2013-01-06,0.0
2013-01-07,1865.0
2013-01-08,2009.0
2013-01-09,2256.0
2013-01-10,2881.0
2013-01-11,5044.0
2013-01-12,7246.0
2013-01-13,0.0
2013-01-14,1869.0
2013-01-15,1855.0
2013-01-16,2484.0
2013-01-17,2603.0
2013-01-18,4872.0
2013-01-19,7638.0
2013-01-20,0.0
2013-01-21,1871.0
2013-01-22,1916.0
2013-01-23,2052.0
2013-01-24,2741.0
2013-01-25,4797.0
2013-01-26,7127.0
2013-01-27,0.0
2013-01-28,1772.0
2013-01-29,2019.0
2013-01-30,2417.0
2013-01-31,2731.0
2013-02-01,5307.0
2013-02-02,8444.0
2013-02-03,0.0
2013-02-04,2109.0
2013-02-05,2103.0
2013-02-06,3310.0
2013-02-07,3758.0
2013-02-08,6426.0
2013-02-09,9897.0
2013-02-10,7073.0
2013-02-11,8146.0
2013-02-12,3653.0
2013-02-13,2260.0
2013-02-14,4507.0
2013-02-15,955.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,1952.0
2013-02-19,2026.0
2013-02-20,2316.0
2013-02-21,2884.0
2013-02-22,4636.0
2013-02-23,7573.0
2013-02-24,0.0
2013-02-25,2081.0
2013-02-26,1926.0
2013-02-27,2738.0
2013-02-28,3602.0
2013-03-01,5561.0
2013-03-02,8161.0
2013-03-03,0.0
2013-03-04,1949.0
2013-03-05,2038.0
2013-03-06,2527.0
2013-03-07,2573.0
2013-03-08,5936.0
2013-03-09,7624.0
2013-03-10,0.0
2013-03-11,1833.0
2013-03-12,2121.0
2013-03-13,2165.0
2013-03-14,2268.0
2013-03-15,5060.0
2013-03-16,8109.0
2013-03-17,0.0
2013-03-18,1581.0
2013-03-19,1779.0
2013-03-20,2233.0
2013-03-21,2739.0
2013-03-22,4587.0
2013-03-23,7961.0
2013-03-24,0.0
2013-03-25,2105.0
2013-03-26,4173.0
2013-03-27,2909.0
2013-03-28,4806.0
2013-03-29,6236.0
2013-03-30,7199.0
2013-03-31,0.0
2013-04-01,1793.0
2013-04-02,2179.0
2013-04-03,2392.0
2013-04-04,2513.0
2013-04-05,4976.0
2013-04-06,8065.0
2013-04-07,0.0
2013-04-08,1693.0
2013-04-09,2091.0
2013-04-10,2357.0
2013-04-11,2747.0
2013-04-12,5519.0
2013-04-13,7787.0
2013-04-14,0.0
2013-04-15,2143.0
2013-04-16,2014.0
2013-04-17,2443.0
2013-04-18,2666.0
2013-04-19,4815.0
2013-04-20,7412.0
2013-04-21,0.0
2013-04-22,1674.0
2013-04-23,1967.0
2013-04-24,2575.0
2013-04-25,2471.0
2013-04-26,5196.0
2013-04-27,7486.0
2013-04-28,0.0
2013-04-29,1828.0
2013-04-30,3532.0
2013-05-01,5850.0
2013-05-02,2627.0
2013-05-03,5046.0
2013-05-04,6972.0
2013-05-05,0.0
2013-05-06,1856.0
2013-05-07,1914.0
2013-05-08,2695.0
2013-05-09,3125.0
2013-05-10,6625.0
2013-05-11,11060.0
2013-05-12,0.0
2013-05-13,1651.0
2013-05-14,2045.0
2013-05-15,2212.0
2013-05-16,2793.0
2013-05-17,5527.0
2013-05-18,7181.0
2013-05-19,0.0
2013-05-20,1635.0
2013-05-21,1777.0
2013-05-22,2784.0
2013-05-23,4723.0
2013-05-24,8259.0
2013-05-25,7437.0
2013-05-26,0.0
2013-05-27,1737.0
2013-05-28,1869.0
2013-05-29,2324.0
2013-05-30,2398.0
2013-05-31,4696.0
2013-06-01,7090.0
2013-06-02,0.0
2013-06-03,2100.0
2013-06-04,2052.0
2013-06-05,2641.0
2013-06-06,3465.0
2013-06-07,10811.0
2013-06-08,6996.0
2013-06-09,0.0
2013-06-10,2307.0
2013-06-11,4306.0
2013-06-12,2597.0
2013-06-13,3244.0
2013-06-14,5890.0
2013-06-15,10639.0
2013-06-16,0.0
2013-06-17,1829.0
2013-06-18,1881.0
2013-06-19,2410.0
2013-06-20,2678.0
2013-06-21,5435.0
2013-06-22,7295.0
2013-06-23,0.0
2013-06-24,1732.0
2013-06-25,2055.0
2013-06-26,2268.0
2013-06-27,2928.0
2013-06-28,4983.0
2013-06-29,7060.0
2013-06-30,0.0
2013-07-01,2132.0
2013-07-02,2741.0
2013-07-03,2625.0
2013-07-04,2845.0
2013-07-05,4893.0
2013-07-06,7747.0
2013-07-07,0.0
2013-07-08,1918.0
2013-07-09,2109.0
2013-07-10,2309.0
2013-07-11,2786.0
2013-07-12,5415.0
2013-07-13,7336.0
2013-07-14,0.0
2013-07-15,1691.0
2013-07-16,2101.0
2013-07-17,2500.0
2013-07-18,2727.0
2013-07-19,4644.0
2013-07-20,7922.0
2013-07-21,0.0
2013-07-22,2151.0
2013-07-23,2619.0
2013-07-24,3183.0
2013-07-25,3828.0
2013-07-26,5432.0
2013-07-27,8525.0
2013-07-28,0.0
2013-07-29,1695.0
2013-07-30,2215.0
2013-07-31,2665.0
2013-08-01,3508.0
2013-08-02,5475.0
2013-08-03,7811.0
2013-08-04,0.0
2013-08-05,2094.0
2013-08-06,2226.0
2013-08-07,2927.0
2013-08-08,2837.0
2013-08-09,5615.0
2013-08-10,7682.0
2013-08-11,0.0
2013-08-12,2386.0
2013-08-13,2172.0
2013-08-14,3153.0
2013-08-15,2594.0
2013-08-16,5811.0
2013-08-17,7502.0
2013-08-18,0.0
2013-08-19,2124.0
2013-08-20,2291.0
2013-08-21,2525.0
2013-08-22,2901.0
2013-08-23,5222.0
2013-08-24,8255.0
2013-08-25,0.0
2013-08-26,1848.0
2013-08-27,2307.0
2013-08-28,2533.0
2013-08-29,2882.0
2013-08-30,5434.0
2013-08-31,8102.0
2013-09-01,0.0
2013-09-02,1998.0
2013-09-03,2117.0
2013-09-04,2626.0
2013-09-05,3048.0
2013-09-06,7893.0
2013-09-07,7582.0
2013-09-08,0.0
2013-09-09,1992.0
2013-09-10,3186.0
2013-09-11,2122.0
2013-09-12,2404.0
2013-09-13,5426.0
2013-09-14,8205.0
2013-09-15,0.0
2013-09-16,1864.0
2013-09-17,2243.0
2013-09-18,2547.0
2013-09-19,3528.0
2013-09-20,5599.0
2013-09-21,9585.0
2013-09-22,0.0
2013-09-23,1990.0
2013-09-24,2331.0
2013-09-25,2624.0
2013-09-26,3378.0
2013-09-27,5557.0
2013-09-28,8544.0
2013-09-29,0.0
2013-09-30,2023.0
2013-10-01,2487.0
2013-10-02,2413.0
2013-10-03,2522.0
2013-10-04,5224.0
2013-10-05,7907.0
2013-10-06,0.0
2013-10-07,1844.0
2013-10-08,2239.0
2013-10-09,2996.0
2013-10-10,4160.0
2013-10-11,16577.0
2013-10-12,5991.0
2013-10-13,0.0
2013-10-14,1695.0
2013-10-15,4465.0
2013-10-16,1989.0
2013-10-17,2393.0
2013-10-18,3639.0
2013-10-19,7052.0
2013-10-20,0.0
2013-10-21,1596.0
2013-10-22,1497.0
2013-10-23,2098.0
2013-10-24,2524.0
2013-10-25,5060.0
2013-10-26,8523.0
2013-10-27,0.0
2013-10-28,1888.0
2013-10-29,2364.0
2013-10-30,7119.0
2013-10-31,3104.0
2013-11-01,5345.0
2013-11-02,9555.0
2013-11-03,0.0
2013-11-04,1854.0
2013-11-05,2140.0
2013-11-06,2757.0
2013-11-07,3772.0
2013-11-08,5844.0
2013-11-09,8565.0
2013-11-10,0.0
2013-11-11,1996.0
2013-11-12,2205.0
2013-11-13,2561.0
2013-11-14,2796.0
2013-11-15,5651.0
2013-11-16,8892.0
2013-11-17,0.0
2013-11-18,1863.0
2013-11-19,2222.0
2013-11-20,2586.0
2013-11-21,3009.0
2013-11-22,5026.0
2013-11-23,8201.0
2013-11-24,0.0
2013-11-25,2284.0
2013-11-26,2206.0
2013-11-27,3312.0
2013-11-28,2945.0
2013-11-29,5367.0
2013-11-30,8144.0
2013-12-01,0.0
2013-12-02,2503.0
2013-12-03,3077.0
2013-12-04,4032.0
2013-12-05,6325.0
2013-12-06,7016.0
2013-12-07,8750.0
2013-12-08,0.0
2013-12-09,6645.0
2013-12-10,3115.0
2013-12-11,4043.0
2013-12-12,4820.0
2013-12-13,8390.0
2013-12-14,11482.0
2013-12-15,0.0
2013-12-16,4366.0
2013-12-17,5385.0
2013-12-18,7519.0
2013-12-19,8356.0
2013-12-20,12270.0
2013-12-21,16945.0
2013-12-22,0.0
2013-12-23,16093.0
2013-12-24,19927.0
2013-12-26,6859.0
2013-12-27,12160.0
2013-12-28,15205.0
2013-12-29,0.0
2013-12-30,20443.0
2013-12-31,23460.0
2014-01-01,349.0
2014-01-02,3187.0
2014-01-03,4818.0
2014-01-04,8495.0
2014-01-05,0.0
2014-01-06,2000.0
2014-01-07,2381.0
2014-01-08,2835.0
2014-01-09,2844.0
2014-01-10,5239.0
2014-01-11,9859.0
2014-01-12,0.0
2014-01-13,2075.0
2014-01-14,2241.0
2014-01-15,2566.0
2014-01-16,3196.0
2014-01-17,6118.0
2014-01-18,9721.0
2014-01-19,0.0
2014-01-20,2237.0
2014-01-21,3152.0
2014-01-22,2711.0
2014-01-23,2795.0
2014-01-24,6819.0
2014-01-25,9644.0
